locality_id,suburb_name,locality_class,state,lat,lon
locea13560b3b42,Balliang,Gazetted Locality,VIC,-37.820042,144.358442
locf2158407e353,Balliang East,Gazetted Locality,VIC,-37.8186,144.44374
locd7da627ee418,Ballyrogan,Gazetted Locality,VIC,-37.431561,143.114593
locb7a8a8d0ef4f,Balmattum,Gazetted Locality,VIC,-36.710904,145.656206
loccd9082fe4b16,Balmoral,Gazetted Locality,VIC,-37.216476,141.835
loc0a04b7cc8b07,Balnarring,Gazetted Locality,VIC,-38.355467,145.127099
loc3f71543240dd,Balnarring Beach,Gazetted Locality,VIC,-38.391343,145.121047
loc16c75834002d,Balook,Gazetted Locality,VIC,-38.425087,146.551335
loc64cc79e3a232,Balwyn,Gazetted Locality,VIC,-37.809681,145.087372
loc0621c45c46f4,Balwyn North,Gazetted Locality,VIC,-37.790822,145.084601
loc9aa0e8c528a8,Bamawm,Gazetted Locality,VIC,-36.263787,144.635318
loc5bf3990f31ba,Bamawm Extension,Gazetted Locality,VIC,-36.176089,144.600332
loc31ff0e218c39,Bambra,Gazetted Locality,VIC,-38.361746,143.949143
loc5079fcd52a5f,Bamganie,Gazetted Locality,VIC,-37.939586,144.009363
loc398d22e7ad86,Bandiana,Gazetted Locality,VIC,-36.131086,146.937215
locbddfacc30b0a,Bangerang,Gazetted Locality,VIC,-36.191191,142.581469
locf3fc3fca2acd,Bangholme,Gazetted Locality,VIC,-38.046634,145.175897
loc02d205ec3a0a,Banksia Peninsula,Gazetted Locality,VIC,-37.949778,147.681587
loc4fbbfa844d68,Bannerton,Gazetted Locality,VIC,-34.737629,142.79858
loce2c8ca5c6900,Bannockburn,Gazetted Locality,VIC,-38.049779,144.159426
loca88aa2abd113,Banyan,Gazetted Locality,VIC,-35.614256,142.788281
loc430fadd03c5d,Banyena,Gazetted Locality,VIC,-36.58854,142.842313
locba8f7a4a0c92,Baranduda,Gazetted Locality,VIC,-36.184719,146.951
locb5dffcc94890,Barfold,Gazetted Locality,VIC,-37.10355,144.500553
loc12a521f64361,Baringhup,Gazetted Locality,VIC,-36.975841,143.968624
locd76b7ecdbb02,Baringhup West,Gazetted Locality,VIC,-36.957672,143.902984
loc1d612b58d12f,Barjarg,Gazetted Locality,VIC,-36.921182,146.007452
