suburb_name,state,lat,lon,postcode
BANYAN,VIC,-35.614256,142.788281,3485.0
BANYAN,VIC,-35.614256,142.788281,3485.0
BANYENA,VIC,-36.58854,142.842313,3388.0
BARANDUDA,VIC,-36.184719,146.951,3691.0
BARANDUDA,VIC,-36.184719,146.951,3691.0
BARFOLD,VIC,-37.10355,144.500553,3444.0
BARINGHUP,VIC,-36.975841,143.968624,3463.0
BARINGHUP WEST,VIC,-36.957672,143.902984,3463.0
BARINGHUP WEST,VIC,-36.957672,143.902984,3463.0
BARJARG,VIC,-36.921182,146.007452,3723.0
BARKERS CREEK,VIC,-37.023043,144.224986,3451.0
BARKLY,VIC,-36.943078,143.218954,3384.0
BARKSTEAD,VIC,-37.477656,144.099242,3364.0
BARMAH,VIC,-35.950028,144.988942,3639.0
BARNADOWN,VIC,-36.65004,144.52644,3557.0
BARNADOWN,VIC,-36.65004,144.52644,3557.0
BARNAWARTHA,VIC,-36.081006,146.683338,3688.0
BARNAWARTHA,VIC,-36.081006,146.683338,3688.0
BARNAWARTHA NORTH,VIC,-36.076857,146.750937,3691.0
BARNAWARTHA NORTH,VIC,-36.076857,146.750937,3691.0
BARNAWARTHA NORTH,VIC,-36.076857,146.750937,3691.0
BAROMI,VIC,-38.403615,146.175422,3871.0
BARONGAROOK,VIC,-38.43132,143.614617,3249.0
BARONGAROOK WEST,VIC,-38.43132,143.539988,3249.0
BARONGAROOK WEST,VIC,-38.43132,143.539988,3249.0
BARRABOOL,VIC,-38.165983,144.225918,3221.0
BARRAKEE,VIC,-36.266567,143.448723,3525.0
BARRAMUNGA,VIC,-38.58229,143.716537,3249.0
BARRAPORT,VIC,-35.992703,143.655648,3537.0
BARRAPORT WEST,VIC,-36.018349,143.55302,3537.0
BARRAPORT WEST,VIC,-36.018349,143.55302,3537.0
BARRYS REEF,VIC,-37.454589,144.312456,3458.0
BARRYS REEF,VIC,-37.454589,144.312456,3458.0
BARUNAH PARK,VIC,-38.013062,143.822815,3329.0
BARUNAH PLAINS,VIC,-38.048204,143.768928,3329.0
BARWIDGEE,VIC,-36.511867,146.780491,3737.0
BARWITE,VIC,-37.010165,146.224163,3722.0
BARWON DOWNS,VIC,-38.507711,143.783699,3243.0
BARWON DOWNS,VIC,-38.507711,143.783699,3243.0
BARWON HEADS,VIC,-38.273629,144.488629,3227.0
BARWON HEADS,VIC,-38.273629,144.488629,3227.0
BASALT,VIC,-37.308636,144.105362,3460.0
BASS,VIC,-38.47806,145.4707,3991.0
BATESFORD,VIC,-38.091241,144.277933,3213.0
BATHUMI,VIC,-36.025024,146.085132,3730.0
BAW BAW,VIC,-37.837635,146.322705,3833.0
BAW BAW VILLAGE,VIC,-37.843924,146.256778,3833.0
BAW BAW VILLAGE,VIC,-37.843924,146.256778,3833.0
BAXTER,VIC,-38.197834,145.155668,3911.0
BAYINDEEN,VIC,-37.303344,143.183044,3375.0
BAYLES,VIC,-38.177274,145.575968,3981.0
BAYNTON,VIC,-37.13767,144.649638,3444.0
BAYNTON EAST,VIC,-37.123426,144.712929,3444.0
BAYNTON EAST,VIC,-37.123426,144.712929,3444.0
BAYSWATER,VIC,-37.846288,145.266207,3153.0
BAYSWATER NORTH,VIC,-37.825587,145.284074,3153.0
BAYSWATER NORTH,VIC,-37.825587,145.284074,3153.0
BEACONSFIELD,VIC,-38.039649,145.38067,3807.0
BEACONSFIELD,VIC,-38.039649,145.38067,3807.0
BEACONSFIELD UPPER,VIC,-37.998515,145.425413,3808.0
BEACONSFIELD UPPER,VIC,-37.998515,145.425413,3808.0
BEACONSFIELD UPPER,VIC,-37.998515,145.425413,3808.0
BEALIBA,VIC,-36.768749,143.556519,3475.0
BEARII,VIC,-35.884416,145.342491,3641.0
BEARS LAGOON,VIC,-36.338335,143.951255,3517.0
BEAUCHAMP,VIC,-35.639419,143.617262,3579.0
BEAUFORT,VIC,-37.440317,143.337474,3373.0
BEAUMARIS,VIC,-37.983593,145.038215,3193.0
BEAZLEYS BRIDGE,VIC,-36.708698,143.147234,3477.0
BEEAC,VIC,-38.178487,143.63311,3251.0
